supporter_id,churn_probability,risk_tier
1,0.068,Low
2,0.533,Medium
3,0.008,Low
4,0.086,Low
5,0.339,Medium
6,0.1,Low
7,0.043,Low
8,0.053,Low
9,0.408,Medium
10,0.283,Low
11,0.274,Low
12,0.151,Low
13,0.231,Low
14,0.751,High
15,0.665,High
16,0.344,Medium
17,0.532,Medium
18,0.278,Low
19,0.305,Medium
20,0.026,Low
21,0.289,Low
22,0.047,Low
23,0.646,High
24,0.058,Low
25,0.006,Low
26,0.046,Low
27,0.225,Low
28,0.814,High
29,0.383,Medium
30,0.651,High
31,0.001,Low
32,0.348,Medium
33,0.32,Medium
34,0.399,Medium
35,0.081,Low
36,0.384,Medium
37,0.558,Medium
38,0.091,Low
39,0.2,Low
40,0.712,High
41,0.633,High
42,0.497,Medium
43,0.281,Low
44,0.559,Medium
45,0.142,Low
46,0.315,Medium
47,0.316,Medium
48,0.585,Medium
49,0.227,Low
50,0.466,Medium
51,0.302,Medium
52,0.513,Medium
53,0.866,High
54,0.0,Low
55,0.621,High
56,0.357,Medium
57,0.713,High
58,0.728,High
59,0.361,Medium
60,0.768,High
